label	text
1	过去这个学校不执行“学生以学为主”，所以学生的学习水平很低。
0	沈阳是我国东北地区最大的物资集散中心，辐射范围包括东北三省、内蒙古自治区等地。
1	目前科学家还没有找到一种方便快捷的方法，使RNA（核糖核酸）干扰能有效在患者体内的相应部位进行。
0	比尔·盖茨善于独立思考，从不盲从的个性帮助他赢得事业上的辉煌。
1	为什么有些同学天天埋头苦读，考试成绩却不理想？为什么有些同学玩得尽兴，学习成绩却很拔尖？一个很重要的原因就是学习方法的正确。
1	根据国家体育总局青少年体育司和北京体育大学联合编纂的《中国青少年体育发展报告》显示，我国青少年的身体素质总体有了提升，但大学生的体质状况仍然堪忧。
1	读者深受喜爱的杨绦先生，不凡的一生中，留下了大量文风质朴、寓意深刻的作品。
1	这次抗疫中，社会各界给学校捐赠了口罩、体温计、保健手册等医疗用品。
0	不少外国游客，在春节期间专程到中国旅游，体验过节的热闹氛围，“中国年”正逐渐被世界各个国家的人们认可，成为全球共同的节日。
1	由于这次秋游没有发生任何事故，使师生们都感到十分欣慰。
1	能否解决腐败问题，能否控制人口增长，能否消除两岸隔阂，都是实现中华民族伟大复兴的重要保证。
0	全国基本养老保险关系跨省转续工作渐入常态，特别是农民工养老保险关系跨省转续工作逐步正常化．
1	一种观念只有被人们普遍接受、理解和掌握并转化为整个社会的群体意识，才能成为人们自觉遵守和奉行的准则
0	大渡口一家老茶馆，茶水费仅需一元，老板说赚的是街坊们喝出的人情味。
0	千百年，讲信修睦、善待他人的传统思想，塑造了中华民族敦厚平和的禀性；天人合一、世界大同的共同理想，熔铸了中华民族强不执弱、富不侮贫的精神。
1	十二五规划中提出，经过全国人民共同努力奋斗，使我国转变经济发展方式取得实质性进展，综合国力、国际竞争力、抵御风险能力显著提高，人民物质文化生活明显改善，全面建成小康社会的基础更加牢固。
1	不少学生偏食、挑食，导致蛋白质摄入量偏低，钙、锌、铁等营养素明显不足，营养状况不容令人乐观。
0	秦汉魏石刻书法艺术展增进了中日两国书法艺术家的友好往来，对两国的文化交流起到了积极作用。
1	“2013北川文化旅游推广活动”现场特别设立了民俗文化体验区，展出羌雕、羌绣和极具地方色彩的民间艺术作品，来宾在活动中零距离感受了羌族文化。
0	如果说《呐喊》《彷徨》中的小说是鲁迅对现实社会人生的冷峻的刻画，意在警醒沉睡的国民，那么《朝花夕拾》中的散文则是鲁迅温馨的回忆，是对滋养过他的生命的人和物的深情的怀念。
1	过去氢化植物油被广泛用作植脂末的原料，但越来越多的证据表明氢化植物油含有反式脂肪酸，对人体无益，只会增多心血管疾病的风险。
1	珙桐有“植物活化石”之称，因其花形酷似展翅飞翔的白鸽命名为“中国鸽子树”。
1	本赛季大爆冷门的火箭队，凭借场上的整体配合和姚明的出色表现，终于击败了志在卫冕桂冠的太阳队。
1	在今年的高考中他所教的班取得了优异成绩，有20多人总分达700分以上。
0	港珠澳大桥的正式通车，将有利于加快大湾区城市一体化的进程。
1	我国多个地区出现干旱的原因，主要是因为气温持续升高、降水量明显减少。
1	由于规划周密、准备充分，去年在北京举办的第29届奥运会成为奥运会中历届参赛国最多、开幕式演艺最精彩的一次盛会，好评如潮。
1	据中科院研究所初步鉴定，这头金色牦牛是世界上新发现的一种野生动物，并命名为“金丝牦牛”。
0	图书馆、老年活动室，这些城市里有的文化娱乐设施，在很多村子里也有。
0	通过观看热播的历史剧《芈月传》，我们发现，历史其实也是一部好戏。
1	针对网友对甘肃双色球大奖是否作弊的怀疑，甘肃省福彩中心宣传部长李部长表示，质疑是没有根据的，不可能出现作弊的情况。
0	我国石拱桥的设计有优良传统，建成的桥，用料省，结构巧，强度高。
1	学生应该重视课前预习，在预习中发现问题，上课时就可以向老师提出质疑。
1	切忌不要互相妨碍，因此不应当大声喧哗。
1	据有关部门对侵权问题严重的几十家企业的调查显示，这些企业每年的获利应达十几亿元。
1	作为教育的上层建筑，必须发挥更大的作用。
0	校团委组织为社区服务的学生义工队，这是一种很好的培养服务意识、锻炼实践能力的教育手段。
0	在阅读文学著作的过程中，我明白了许多做人的道理，也感悟到了人生的真谛。
1	他之所以进展神速的原因，是他使用了写在1837年笔记本上的那些有用的材料，以及1838年2月到7月间写的第二个笔记本中那些有价值的参考资料。
1	在《京都议定书》第二承诺期问题上，美国继续坚持称，除非中国等新兴市场大国也接受强制减排指标，否则，不接受的话，美国不可能签第二承诺期。
1	国家工商总局网络商品质量监测中心昨日发布2017年网购母婴商品的质量抽检结果，国内八大电商平台母婴产品抽检不合格率达三成左右。
1	有无扎实的阅读基础，是青少年提高写作能力的前提。
1	截至北京时间28日1时，意大利确诊新型冠状病毒肺炎病例为650例左右，在24小时内增加了250例。其中17人死亡，45人治愈。
1	已立项的连淮扬镇铁路一旦建成，不仅将徐州、南京、苏锡常等三大都市圈联系起来，而且将为连淮扬镇城市组团构建联系纽带。
1	尽管受到全球新冠肺炎疫情等不利因素影响，但各国企业参展积极赚跃，第三届进博会总展览面积比上届扩大近3万平方米。
1	艺术家的艰苦劳动，实际上就是在创造美、追求美、放大美、集中美。
1	5月20日至21日，安南首先在中国常驻联合国代表王光亚的陪同下参观考察了世界自然与文化遗产黄山，然后又来到世界文化遗产两递古民居。
1	该市有人不择手段仿造伪劣商品，对这种坑害顾客、骗取钱财的不法行为，应给以严厉打击。
1	同学们要厉行节约，杜绝不浪费水电等不良行为．
1	转基因水稻可能很快在中国进行商业化生产，将成为第一个批准商业化生产转基因水稻的国家，转基因大米很快就能端上中国人的饭桌。
1	在常规能源中，水能的优越性是无可比拟的，是取之不尽、用之不竭的再生能源。
1	我并非没有注意到，参加今天集会的人中，有些受尽苦难和折磨，有些刚走出窄小的牢房，有些由于寻求自由，有些在居地住惨遭疯狂迫害和打击。
1	“特权车”和“人情车”盛行，非车辆本身有什么与众不同，关键是驾车的、坐车的人的“特权”思想在作怪的原因。
1	被爱好者捧为英剧神作的《神探夏洛克》，一些原著迷表示，不但电影的翻译质量不高，而且一些有双关含义和伏笔的翻译不到位，还有翻译硬伤。
0	人才柔性流动是指人才通过兼职、承担委托项目、参与项目开发等方式在为其他单位提供短期服务的过程中所发生的迁移行为。
1	“官二代”“富二代”令人发指的犯罪事件近来频见媒体，这里没有刻意“仇官”“仇富”的意思；其实，在这个社会转型期，我们学校和家长都应认识到不适当地管教孩子是不行的。
1	公众之所以引起“愁吃”恐慌的原因，与少数媒体夸大其词的宣传不无关系，他们动辄以“致癌”“致死”定论，放大了食品安全问题。
0	国家有关部门明确要求不得在娱乐访谈、娱乐新闻等节目中宣传炒作明星子女。
1	江宁的体育彩票，由于把关不严和操作上的失误，失去了彩民的信任，致使销售量由原来的800万张骤减至400万张，下降了一倍多。
1	随着共享经济的迅速增长，未来硬件服务升级、建立与完善同用户间的信任机制，将是决定共享经济能否稳步发展的一大要因。
1	由于延迟退休或实行弹性退休制、改革事业单位养老保险制度等重大变革，对广大群众来说并不是一下子就能愉快接受的，需要政府部门做好宣传解释工作。
1	这只是他治愈的患者之一，在他那挂满了锦旗和摆放着上万封来信的诊室里，治好的病例可信手拈来。
1	放学了，大家过马路时要注意安全，防止不发生事故。
1	美食代表了中华民族几千年的文化传承，《舌尖2》将延续第一季的主题，探讨中国人与食物的关系，历时一年走访了中国大江南北、150多个人物、300余种美食。
1	新的政委和老政委一样，更会体贴战士。
0	河北籍作家苏叔阳获“2011中华文化人物”奖，他的《中国读本》在全世界发行了一千多万册，被西方社会视为了解中国的必读书。
0	矗立在鲁迅纪念馆前的这座铜像，是由巴金等著名作家倡议，国内外热爱鲁迅的人  士集资30万元铸成的。
1	我们要继续推进改革，当然我们也知道，改革在得到普通民众广泛支持的同时，利益受损的既得利益者必然会对改革加以反对和阻碍。
1	几年来，他无时无刻不忘搜集、整理民歌，积累了大量的资料。
1	"厂长严肃地说：""我们应该节约用水，尽量减少不必要的浪费。"""
1	我们一定要养成观察身边事物和积累写作材料。
1	通过“学会感恩”主题班会，使我受到了很大的触动。
1	近日，乐视正式宣布乐视超级汽车生态体验园将落户浙江，这也回应了业界一直以来对乐视造车的关注和质疑。
1	湖南首次精心组织的远程医疗会诊在长沙电信局可视会诊中心进行会诊。
1	市委和市政府责成工作组，务必竭尽全力抢救事故，认真做好善后工作。
1	在市场经济大潮中，红色文化日益深入人心。近几年来，井冈山商人开始意识到红色品牌的价值，纷纷抢注“同志哥”“红伢子”“黄洋界”“五指峰”以及与红色文化有关的商标，成为红色旅游景区一个独特现象。
1	江南药业集团采取积极有效的节水措施，用水量与去年同时期相比，下降了三倍。
0	因为草长，树木长，所以山是一天一天地变丰满。
0	高等职业教育的课程设置，要有前瞻性，要为培养一专多能的复合型人才这一办学宗旨服务。
1	如何防止国家重要设施和人民生命财产免遭国际恐怖主义分子破坏，已成为连任美国总统的奥巴马深感头疼的问题。
1	古往今来，青青翠竹吸引了无数诗人和画家，竹画成为我国诗画的传统题材，它象征了中华民族坚定顽强、不卑不亢的气概。
1	10月21曰下午，央视独家采访河北大学校园交通肇事案犯罪嫌疑人李启铭的父    亲李刚，向受害人及家属表示诚恳道歉，并深深鞠躬。
1	村里的人们都冒着凛冽的寒风在田里收割麦子。
1	据西班牙《世界报》28日报道，一名厨师自从以“火星小盘”获得厨艺大赛冠军后，火星美食就开始在马德里流行起来。
1	这部昆曲是80后才女罗周根据唐代诗人张若虚的《春江花月夜》为灵感来源进行创作的，导演李小平对这部昆曲给予了高度评价。
1	长沙市文明办开展与策划的“我爱星城”活动，得到市民很多的响应。
0	《中国制造2025》提出，未来我国的制造业发展要坚持以“创新驱动、质量为先、绿色发展、结构优化、人才为本”为基本方针。
1	鉴于土管局今年在全市群众中的恶劣影响，市委市政府决定免去土管局局长张天祥，任命王续军为新局长。
1	在胡锦涛总书记出席的汶川地震一周年纪念活动上，发表了感人至深的演讲，在那一时刻，我们的心再一次与灾区人民的心连在了一起。
0	与作家不同的是，摄影家们不是把自己对山川、草木、城市、乡野的感情倾注于笔下，而是直接聚焦于镜头。
0	由华西希望集团斥巨资兴建的四川希望农业科技博览园“花舞人间”是集试验示范、科普旅游、观光健身、休闲娱乐、生态环保等功能于一体的都市农业主题公园。
1	能否准确地解释粉丝文化的内涵，是正确树立青少年价值观的关键问題。
1	没有抵押，没有担保，以双方可以接受的利息，向陌生人借钱，或者把钱借给陌生人，时下已经风靡网络平台，这就是被称为P2P(个人对个人)的融资模式，眼下正深陷争议之中。
0	拿到一本新书后，我通常是先看序言和目录，以了解作者的写作意图和书的大致内容等，然后再逐章逐节细读。
0	汪国真的诗歌曾经放飞了一代人的青春梦想。
1	诗歌是一种文学体裁，从内容方面来说，一般有叙事诗、抒情诗、史诗、英雄颂歌、故事诗等，还有一种用诗体对话构成的剧本，叫做诗歌。
1	说起网络购物、电视购物的“郁闷事”，不仅让不少消费者体会不到购物消费的乐趣，还惹来一身麻烦。
1	这本杂志的对象，主要是面对大学中文系学生和其他文学爱好者。
1	起初他只是为犯罪分子提供窝点，到后来则亲自上阵，打着推销保温材料的名义拐骗妇女。
0	随着供应链管理方式的普遍实施，更多的跨国公司打算将其采购网络向中国延伸。
1	我们不能苛求心智不高内力不坚的众多普通的芸芸众生，但很高兴能看到中国古代文人中这样拒绝权势媒聘、坚决不合作的例子。
1	通过一系列的宣传活动，使广大群众的环保意识大大加强。
1	事实证明，忽视汉语教学不仅让汉语中独特的文化意蕴在我们生活中日渐消退，也造成了生活用词的平庸乏味。
1	解决食品安全问题，不仅需要相关部门从严监管，更重要的还取决于企业是否建立起科学高效的食品安全保证体系和相关制度。
1	“五·一”节前夕，许多商家举行商品打折促销，吸引消费者前来购物消费。
1	每天，全球有5．5亿用户操着75种不同的语言在“脸书”上评价、浏览、分享，全部用户每月耗费在这个社交网站上的时间总计高达7000亿分钟。
1	《富春山居图》描绘的富春江两岸初秋的山光水色，被誉为中国十大传世名画之一。
1	作为全国最高权力机关和最高参政议政机构，和两会闭幕后的总理记者会一样，愈来愈成为中国新闻发布的渠道和政府最高层释放政策信息的窗口。
0	陈水扁若执迷不悟，一意孤行，只能将台湾人民的命运绑在其“台独”的战车上，将两岸关系带入万劫不复的危险境地。
1	历经数十年科技攻关和集成创新，形成和掌握了一整套有效开发此类油、气田的主体技术、核心技术和关键技术系列，创造了世界低渗透油气田开发奇迹。
1	小明和他的父亲长得大相径庭，大家都说一看就知道是父子。
1	我们必须拿出自己的正版计算机游戏软件，否则，拿不出新的软件，就难以抵制不健康的盗版软件。
0	2017年12月13日上午，习总书记在国家公祭仪式上庄严昭告国际社会：今天的中国，是世界和平的坚决倡导者和有力捍卫者。
1	孔子具有极其深邃广阔的眼光，他所提出和回答的问题，不仅超越了一朝一国、一姓一君的保国安邦的狭隘眼界，也超越了君民关系的思考，难道我们能否认这不是事实吗?
1	我用力地咬着自己的手指，想看看是否还有痛感，以此来证明我的头脑和意志是否清醒。
0	他携书单来到购书中心，按图索骥，终于买到女儿需要的教材。
1	据传，在上世纪90年代，在一支9人科学考察小组进入切尔诺贝利时，遭遇了一群巨鼠袭击，只有一人生还。最后，当局集结大量军队将所有发现的巨鼠消灭了。
1	我们中华民族是一个包容性很强的民族，我们要和自己民族政见不一致的国家进行对话与沟通，增进了解，互相学习。
0	经过不懈努力和外交斡旋，苏丹政府已经同意部署联合国一非盟混合维和部队，达尔富尔问题的政治解决曙光初现。
0	当今世界，科技进步日新月异，科技创造层出不穷．不仅给世界生产力发展带来巨大推动，而且引起了世界经济格局的深刻变化和利益格局的重大调整。
1	包括庄子在内的诸子百家可堪称中国传统文化的平台，是中国文化大厦的基石。
1	他个人说话做事太果断，什么都不愿听取群众意见。
1	世界卫生组织最新公布了H5N1病毒出现日期比人们最初认为的要早得多，专家们对此感到担忧，因为这说明该病毒已经有很长时间得以广泛扩散。
1	《印象西湖》以歌舞为主，融入京剧演唱、茶艺表演、少林武术等元素，加上奇幻的灯光，震撼的音响，一幅美丽中国的大写意，声光舞影中洋溢着浓郁的中国情。
0	杀鸡，宰鹅，买猪肉，用心细细的洗，女人的臂膊都在水里浸得通红，有的还带着绞丝银镯子。
1	据资料显示，广州今年正月初一气温高达25.4摄氏度，是1984年以来广州市春节气温最高的一年。
1	由于小李苦干加巧干，所以半年完成了全年的生产任务。
1	“野长城被抹平”事件之所以发生，是由于当地在设计、监理、施工等方面都存在问题，同时上级文物部门也存在后续监管不力之失。
1	日前国家电影事业发展专项资金管理委员会出台了四项政策，新政策规定了对高新技术格式影片的奖励。其中，票房超过5亿元，制片方可获得1000万元的最高奖励。
1	GQ系列管道清理机能协助你疏通各种管道的堵塞问题。
0	科比拥有跟神无异的个人能力，说他是当今世界上最恐怖的得分机器几乎无人有意见，但篮球巨星不仅要看单打能力，领袖能力、对比赛的掌控能力、甚至个人魅力也是衡量一位球星能否成为天王巨星的必备因素。
1	在印度、日本等国纷纷表示将力争加强本国文化的国际地位之后，如何进一步提高中国文化的影响力成了中国学者研讨的中心问题。
1	作品深刻地控诉了极左路线对知识分子的迫害，使我们深深感到，这是对社会主义建设的一种最可怕的、难以弥补的破坏和损失。
1	我们对荒诞派戏剧是个陌生的概念，读一读《外国文学史》，或许能引你走出陌生的境地。
1	短期看，金融危机只对我国某些特定产业的负面影响比较明品，如金融行业、银行、证券公司、基金公司等会遭受一定的冲击，进而影响大学生就业。
0	公路高低起伏，那高处总在诱惑我，诱惑我没命奔上去看旅店，可每次都只看到另一个高处，中间是一个叫人沮丧的弧度。
1	米芾湖北襄阳人，是北宋著名画家，生活在文人画的成熟时代，其绘画题材十分广泛，包括人物、山水、松石、梅兰、竹菊无所不画。
1	能不能战胜自我，是一个人事业成败的关键。
0	许多研究人员认为，人类的道德观或是与生俱来的，但东京大学的研究人员希望找出，其他物种是否也会基于人类对待其他人的态度，来对他们的行为做出判断。
1	国家统计局2010年12月11日公布，11月CPI首次“破五”，同比涨幅5.1%，达年内最高，“蒜你狠”“豆你玩”“糖高宗” ，因此，经济专家围绕以“控制价格总水平过快上涨”问题为中心展开了热烈的讨论。
1	通过与学校里部分成绩尚不够理想的同学的座谈，我们发现在他们身上共同所缺乏的一点就是信心不足。
1	在新形势下，我们应该树立新的文化发展观，挖掘和推进文化体制创新和特色文化内涵，着力开发富有时代精神和湖南特色的文化产品。
1	待到祥林嫂出来淘米，刚刚要跪下去，那船里便突然快速地跳出两个男人来，像是山里人，一个抱住她，一个帮着，拖进船去了。
1	建设中国新一代天气雷达监测网，能够明显改善对热带气旋或台风登陆位置及强度预报的准确性，尤其对中小尺度的灾害性天气能进行有效监测。
0	能否做到可持续发展，关系到我们的将来。
0	国家统计局公布的数据显示，2月份全国居民消费价格指数同比上涨3.2%，创20个月以来的新低，我国居民实际存款利率也首度由负转正。
1	对联，既是一种特殊的艺术品种，又是一种特殊的文学体裁。欣赏对联，可以增长人文知识，了解风俗人情，享受审美乐趣和情操。
0	去年国庆节，老师推荐我作为全校的三名选手之一，参加了全区的演讲比赛。
1	不仅张岱的书有中国文人需要读的文化常识，还囊括了传说、段子、神药偏方等荒诞不经的内容，它就像沃土，从中能孕育出有趣的灵魂。
1	2004年是国家实施振兴东北战略的第一年，东北三省经济开始提速，东北也有望继长三角、珠三角、环渤海经济圈之后中国第四个经济增长极。
1	本文是作者于2003年5月第一次参观哈佛大学写的游记，叙述按时空关系组合，角度独特，见解深刻。
1	侵入我国的寒流的路径，不是每次都一样，这要看北极地带和西伯利亚的冷空气哪一部分气压最高，我国哪一部分气压最低来决定。
0	沈浩同志为我们党员干部立了一面镜子，所有的党员、干部都应和他对照，都要想一想我们应该怎样对待群众、怎样对待组织、怎样对待责任、怎样对待人生。
1	为了进一步加强家校合作，畅通家校沟通渠道，市教委积极组织各校开展“千师访万家”家访。
1	雷锋精神当然要赋予他新的内涵，但谁又能否认现在就不需要学习雷锋了呢？
1	第三届中国国际果蔬展览会目前在深圳会展中心开幕，将展示全球水果、蔬菜新品种及相关高新技术的演示。
0	两个学校的学生集体到科学宫参观学习，对科学就是生产力这一论断有了更深的体会。
1	坚持写日记，写作能力就会迅速提高和扩大。
1	通过举办2016年“20国集团杭州峰会”，使全世界的目光都聚焦到了飞速发展中的中国。
1	《让子弹飞》的火爆让姜文名利双收，不但创下了超过7亿的票房收入成为“贺岁片之王”，而且也赢得了无数好评，甚至连“麻匪面具”也一度脱销。
0	长征是中华民族的一部英雄史诗，红军大无畏的英雄气概和艰苦卓绝的斗争精神，早已超越时空，走向世界，成为全人类共同的精神财富。
1	虽然国家对农村文化建设投入了不少资金，但目前我国农村文化仍旧处于有阵地却缺乏后续文化建设设施完善。
1	随着日本主裁判的终场哨音响起，中叙双方战成0：0，全场三万名观众一声叹息的声音蔓延整个球场。
1	“巨龙”号潜海成功，对我国科研界来说是一个巨大的鼓舞，对提升我国开发海洋、保护海洋、认识海洋的能力，将产生重大而深远的影响。
1	虽然这是生活中一件微不足道的事，但对我却有深刻的体会。
1	作家莫言以魔幻现实主义手法，将民间故事和历史史实融入小说创作，被评为2012年“诺贝尔文学奖”荣誉称号。
1	通过“三城联创”签字仪式，使我们意识到保护环境对于我们来说是多么重要。
1	要推行素质教育，关键在于应该以改变教育思想为根本，而教育思想的改变，取决于教育体制和整个社会人才观念的转变。
1	在作品中，他以朴实、洗练的文笔歌颂了广大教育工作者不辞辛苦，勇于奉献，甘为人梯，为培养跨世纪的合格人才做出了贡献。
1	近日下水的大型画舫的外形与颐和园的石舫极为酷似。
0	霍金对AI的无节制发展提出批评，他认为，AI（人工智能）技术虽然有希望为人类带来巨大的福利，比如根除疾病和贫困等，但是同样也可能带来危险，比如制造强大的自主式武器，或者帮助少数人压迫多数人。
1	许多观众看完《战狼2》激情满怀，为祖国的强大而自豪，使观众不约而同地喊出“厉害了，我的国”。
1	一年来，中国政府推出了各项改革举措，如“营改增”“一带一路”等获得了大众的交口称赞，尤其是整治贪官污吏的举措，值得大家鼓掌。
1	食品是否安全，是人们身体健康的基本保障，所以，食品生产企业要高度重视食品安全。
1	适度的自我评价，实际上是把心理之船停泊在一个平静的“码头”；而超越个人实际的高大目标，则容易造成心理失衡。
1	能否营造人人敬业奉献的浓厚氛围，关键是提升公民的道德修养。
1	学校能否形成良好的、有促进功能的校园文化，学习者能否真正适应并融入它，它对教学活动的有效开展起着重要作用。
1	当前世界经济的普遍下行对人类发展事业产生负面影响，一个主要原因就是归咎于2008年引发的全球经济危机。
1	巴基斯坦也存在严重的荒漠化问题。亿利集团计划在库布齐沙漠建造一个容纳10万居民的低碳城镇,融合文化、旅游、商业、医疗服务、教育、生活等多个方面,希望借此改变巴基斯坦沙漠的命运。
1	中年男子在东单体育馆打球突然猝死获救，东单地区较为健全的公共急救体系发挥了至关重要的作用，这表明构建成熟完善的公共急救体系刻不容缓。
1	一个人如果要开创自己的光明前程，关键就在于持之以恒的努力和付出才能够实现。
1	唐代古文运动打破了骈文的长期统治，开创了散文的新传统。韩愈和柳宗元不仅在理论上作出了典范，更重要的是在创作实践上奠定了散文创作的基础。
1	基于良渚文化玉器在中华玉文化发展史上的辉煌地位，选择了其中最具代表性与原创性的玉琮、玉璧和玉三叉型器三种器类，将其组合在一起，作为“中华玉”代表器型，以昭示“礼、德、和”的中华传统文化内核。
1	由于经济落后，国家政局不稳，海地许多建筑物并未按照严格的安全标准建造，所以，不少水泥砖房都建造在斜坡上。太子港市长曾表示，海地60%的建筑物属于“豆腐渣”工程。
1	小岗村村委会认为，在现代化形势下，财富的充足和可持续增长需要以知识的充实为前提，要让村民真正富起来，关键在于知识起决定性作用。
1	为建设节约型社会，山东省一共有30余家酒店联合发出倡议，提出了“顾客‘打包’有理，酒店深表谢意”的餐饮口号。
1	随着第七届全国农运会吉祥物“牛牛”在近日的新闻发布会上亮相,充分体现南阳地域特色、反映着动感和激情的“牛牛”一时成为南阳人谈论的新话题。
1	这家老字号食品厂规模不大，但从毛料到加工制作都非常讲究，生产的食品一直都是新老顾客倍受信赖的。
1	沈从文创作的小说主要有两类：一种是以湘西生活为题材，一种是以都市生活为题材。前者通过描写都市生活的腐化堕落，揭示都市自然人性的丧失；后者通过描写湘西人原始、自然的生命形式，赞美人性美。
1	由于王熙凤出生于高贵而复杂的大家庭，小时候曾被当做男孩子教养，使她接触广泛，见识丰富。
0	要彻底根治“中国式过马路”的陋习，仅仅寄希望于运动式的治理并不现实，倡导交通文明，增强法律意识，完善道路设施，才是解决问题的根本途径。
1	广州市教育和体育局联合开展和策划的“经典诵读”活动，形式多样，参与者众，有助于人们更好地了解中华传统文化。
1	台湾有关方面公布的救灾物资需求，中台办正在积极准备相关救灾物资，为台湾同胞救灾和灾后重建提供各种必要援助。
1	如果不重视网络道德建设，一些道德败坏现象及消极落后思想就可能通过网络影响人们的身心健康，违反正常的社会秩序。
1	进博会是中国秉持开放合作、共同发展理念的具体体现，过去四十年中国经济发展是在开放条件下取得的，未来中国经济能否实现高质量发展也必须在更加开放的条件下进行。
